,fen,label,stock_fish_label
41,1r3rk1/2pq1pbp/p2pb1p1/nP2p3/PNP5/4P1PP/5PB1/1RBQK2R b K - 3 18,True,1
42,r2r3k/3b2p1/p2P1b1p/np1Rpp2/1qP5/1B4P1/PB2QPNP/2R3K1 w - - 5 28,True,1
43,r1b2rk1/pp3ppp/2p2qn1/4p3/2B1P3/2N3Q1/PPPR1PPP/2K4R w - - 8 14,True,1
44,r5k1/1p2p1bp/1pb1p1p1/2n2p2/P1P5/1P2PP2/2B1N1PP/3RB1K1 b - - 4 23,False,1
45,r2q1rk1/4bppp/p1np1n2/1pp1pN1b/4P3/2PP1N1P/PPB1QPP1/R1B2RK1 w - - 4 16,True,1
46,5r2/pbP1rppk/1q5p/1P1R4/P6P/2Q3P1/5P2/2R3K1 w - - 9 38,False,0
47,6k1/3b2p1/6rp/p1p1q3/P1PpPp2/1P3PrP/2B2RPK/3R1Q2 b - - 14 42,False,0
48,1b4k1/1p1r4/p1p1npp1/4p3/1PN1P1PP/2P5/1P1BK3/3R4 w - - 1 31,True,1
49,r1bqk2r/pp1n1pbp/3p1np1/3Pp3/6P1/2N1BN1P/PPPQ1P2/R3KB1R w KQkq - 4 11,True,1
50,r6r/2b2pk1/2N1pq2/p1Pp1npp/8/2Q3P1/PPB2PP1/2R1R1K1 b - - 1 27,False,0
51,2Qbk2r/2q2p1p/p3p3/1pBb4/3P4/6R1/1P3PPP/5BK1 w - - 3 31,True,1
52,3r1r1k/3q4/p2b3p/3NRppb/1pP5/1P4PP/P1Q3B1/5R1K w - - 2 34,True,1
53,3r3r/5ppk/1pp1q2p/p3pNnP/P1P1P1Q1/1P2P3/6PK/3R1R2 w - - 7 31,True,0
54,r2qkbnr/pppn1pp1/3pb2p/8/2B1Pp1P/5N2/PPPPQ1P1/RNB1K2R w KQkq - 3 7,True,0
55,rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6,True,1
56,2r5/6k1/pp1q1np1/3Pp2p/1PP5/P3Q2P/4B1P1/5R1K b - - 5 43,True,1
57,3r1rk1/ppp2p1p/6p1/8/2P1P3/2P5/P3RPPP/1R4K1 b - - 2 17,True,1
58,r1r2k2/5b2/p1p3p1/P1RpRp1p/1P1P1P1P/K2B4/5P2/8 w - - 34 59,True,1
59,r5k1/3b2qn/1r1p2pb/2pPpP1n/p1P1P2B/1PN4P/2B3NQ/R5RK b - - 1 32,True,1
60,r2k1b1r/pp1qp1p1/2n2nQ1/2P1p3/3p3P/2N1BN2/PPP2P2/2KR3R b - - 5 18,True,1
61,Q7/6pk/7p/p7/Pp3p2/1P5P/6PK/4q3 b - - 1 49,False,0
62,2r5/1q3p2/4p1p1/kp1pP2p/p1rP3P/R1P3P1/1Q3PK1/1R6 w - - 84 85,False,0
63,1r1rq1k1/2p2pb1/2n1bnpp/p1Bpp3/P3P3/1BPP1N1P/Q2N1PP1/1R2R1K1 w - - 12 21,False,1
64,r3rbk1/1bq2npp/p4p2/1p1p4/2pP1PPN/P3P3/1P2Q1BP/2R1BRK1 b - - 2 29,False,0
65,1rbq2k1/3nbrnp/3p1ppQ/2pPp3/4P1P1/2N2N1P/1P2BP1K/R1B3R1 w - - 6 22,False,1
66,rk3b1r/p1n3p1/q3B3/Np5p/3P2nP/8/3BQPP1/5RK1 w - - 2 24,True,1
67,6r1/k2bnp1r/1p2q1pp/p2pPp2/P1pP1P1P/2P2BQ1/R1P3P1/1RB3K1 w - - 4 33,False,1
68,rn2k2r/1p1b1p2/p3p1pn/2ppP1Np/3P2qP/P1PBQ3/3B1PP1/2R1K2R w Kkq - 2 16,True,1
69,3r2r1/1p2b3/3N2pk/p1p1Pp1p/2b2Pq1/P3P3/1PBQ4/1K1R3R w - - 2 35,True,1
70,8/2r5/3Rbk2/2nBp2p/4P3/5NP1/5PK1/8 b - - 6 63,True,1
71,1rbqr1k1/p1b2pp1/p6p/2p1nN2/3pP1n1/1P1P2PP/2PBN1B1/1R2QR1K b - - 0 23,False,0
72,r3k2r/1b1pbpp1/ppq1pn2/7p/2P1P3/1P1B3P/P2NQPP1/R1B2R1K b kq - 0 13,True,1
73,2r5/5k2/4n1p1/1RP3Pp/7P/4BK2/5P2/8 b - - 6 66,True,1
74,8/7k/1r2pR2/4Pp1p/6pP/4P1P1/5PK1/8 w - - 3 105,True,1
75,1Nr2k1b/3q1p1p/3p2pP/1P2p1P1/p1Q4R/P7/KP1n1P2/2R5 b - - 1 32,True,1
76,r3k2r/ppp1qppp/2npbn2/2b1p3/N3P3/3P2P1/PPP1NPBP/R1BQK2R w KQkq - 1 8,False,1
77,1k2q2r/2p4r/pp1n4/3P4/4p3/1P2Q1P1/P1P1NBB1/R4K2 b - - 1 31,True,1
78,r1br2k1/1pq1bppp/pn2p3/4P3/3NBP2/2N5/PP1Q1P1P/1K1R2R1 b - - 2 18,True,1
79,1r1q1rk1/2p1npbp/bp1p2p1/2nPP3/p1P2P1N/2N3B1/PP2Q1BP/4RRK1 b - - 4 19,True,1
80,5rk1/r1qnbppp/p1p5/2p1p2b/Q1P1P3/P2PBN1P/1R1N1PP1/R5K1 b - - 1 18,False,1
81,3q1rk1/r1p1bppn/1p1p2bp/n2Np3/B1P1P1P1/3P1N1P/PR1B1P1K/3Q3R w - - 8 21,True,1
82,rnbq1rk1/ppb2ppp/2p1pn2/2Pp4/1P1P4/2N1PN1P/P4PP1/R1BQKB1R b KQ - 0 8,False,0
83,2b2r2/r7/3p1kp1/p1pPp2p/1pP1P3/1P2PNPP/1P5K/4Q3 w - - 2 38,False,0
84,4rrk1/2B1bppp/8/2pb2qn/1pN5/1B2R3/PP3N1Q/4RK2 b - - 13 31,True,1
85,8/3rn3/4k3/3b1pp1/1p6/1Pp1B1PP/2P4K/1B1R4 b - - 4 47,False,0
86,r2qr1k1/p2bbpp1/Q4n1p/4p3/8/2N2N2/PPPP1PPP/R1B1K2R w KQ - 2 14,False,0
87,2kr1b1r/ppqnn3/2p1pp1p/3pPbp1/3P4/2P2N1P/PP2BPP1/R1BQRNK1 w - - 0 12,True,1
88,1r3r2/k2n1ppp/1pn1q3/p1p1P1P1/2PpPB2/1P6/2P1QRBP/5RK1 w - - 1 34,False,0
89,5Q2/k6r/p1qR4/Pp2r3/1Pp1p3/2P5/4B1P1/6K1 b - - 5 69,True,1
90,rnb2rk1/1q1p2pp/4pn2/1pN5/1p6/3BPN2/PP3PPP/R2QK2R b KQ - 1 13,True,1
91,r2qk2r/1p2bppp/p1bppn2/6B1/3QP2P/2N2P2/PPP3P1/1K1R1B1R b kq - 0 12,True,1
92,2N5/3n2k1/p5Pp/7P/2K2P2/2P5/1P3Q2/3q4 b - - 2 45,True,1
93,8/2k3r1/4P1n1/1b1B4/1N2Pp2/1K3Pp1/6P1/7R w - - 5 61,True,1
94,3k1b2/5r1p/p2P1p2/1pB2P2/1P6/P4K1P/8/3R4 w - - 5 42,True,1
95,5r2/1pr1p1k1/1q1p3p/p2Pnpp1/P4P2/1B2R1PP/1PP5/3QR1K1 b - - 0 23,True,1
96,1r5k/p5p1/4rqPp/2n2N1P/2Q1P3/8/1P3P2/2KRR3 w - - 3 34,True,1
97,r4rk1/pbq1ppbp/1p4p1/2p1Pn2/4N3/1P1P1N1P/PBP2PP1/R2QR1K1 b - - 4 15,True,1
98,1r1r2k1/4bpp1/4pn2/1qNn2Bp/p2P3P/P4QP1/B3RP1K/2R5 b - - 13 30,True,1
99,r1br4/p3kppp/1pn1pn2/b1p5/2P1P3/P3BP2/NP2NKPP/R4B1R w - - 4 13,True,1
100,6nk/3q2rp/3p1p1n/2pPpP2/1rP3bN/2N3R1/3QB2P/6RK b - - 1 36,True,1
101,4k1nr/p2b2b1/p6p/2r1ppp1/2P5/N3pPP1/PP2N2P/2KRB1R1 b - - 1 17,False,0
102,5nk1/R7/2N3p1/1rNp1p2/3Pn3/1P6/5PP1/6K1 w - - 5 36,True,1
103,2b1r2k/2q1npp1/2p3np/p1bpP3/P2N2P1/2P1BN1P/r1B2PK1/1RQ1R3 w - - 11 34,True,1
104,8/8/5k1b/p7/7P/PbP3P1/6P1/3BK3 b - - 5 41,False,0
105,8/3Q2k1/5p2/5P2/6K1/p7/8/2q5 b - - 15 74,False,0
106,5rk1/1p3r1p/2p1b1pq/p1PpPp2/B2P3P/2Q3P1/PP3R2/5RK1 w - - 3 31,True,1
107,r5k1/1pq2pp1/p1n1r1np/3p4/P3b3/2P1BN1P/1P3PP1/R2QRBK1 w - - 5 20,True,1
108,rn3rk1/pbp1qppp/1p3n2/3p4/3P4/NP1BPN2/P4PPP/R2Q1RK1 w - - 1 11,True,-1
109,r4bk1/pp1q1pp1/n1p1p2p/Pr1nP3/2QPN2P/1NB3P1/1P3PK1/R1R5 w - - 1 23,True,1
110,7r/2r2pk1/4p1b1/3pP1P1/6Pp/1qP1QR1P/6B1/5R1K b - - 19 52,False,0
111,8/6kp/p5p1/1p3p2/PR5P/1P4R1/3rr1PK/8 b - - 4 40,False,0
112,8/p3k3/1pn3R1/8/6p1/P2K1bB1/2P5/8 w - - 11 63,True,1
113,rn1q1rk1/pb2bppn/1ppp4/4p3/P1PPP1Pp/7P/NP2NPB1/R1BQ1RK1 b - - 0 12,False,1
114,r3r1k1/pb3ppp/1p1q4/n1pP4/8/2PQ1NP1/P4PBP/3R1RK1 w - - 1 17,False,1
115,8/7p/3k3K/4N3/5P2/8/8/6r1 b - - 8 91,False,0
116,r1b2rk1/ppp1q1bp/2np1np1/4pp2/1PP5/P1NPPN2/1B2BPPP/R2Q1RK1 b - - 6 10,False,1
117,rnbqk1nr/1pp2ppp/8/p2pP3/1b1P4/8/PP1B1PPP/RN1QKBNR b KQkq - 0 6,True,1
118,8/4Kpk1/1r3n1p/pPQ2P2/6P1/8/8/8 w - - 3 68,True,1
119,r7/1pp1kp1p/1p2n1p1/4P3/5PP1/P7/1P2BK1P/3R4 w - - 3 24,True,1
120,2rr1qk1/2n3p1/n3ppbp/1p6/pP1PP3/5NP1/5PBP/BQR1R1K1 b - - 6 33,False,0
121,4rbk1/p1qB1p2/2N3p1/1PnR3p/2N1p3/P3P1P1/3R1P1P/6K1 b - - 1 43,True,1
122,3r4/6pp/p3kn2/1pp5/4P3/P3BP2/1P2KNPb/R7 w - - 0 23,True,1
123,R7/2B2b1k/8/p7/P7/6K1/1n6/8 w - - 1 45,True,1
124,r3brk1/pp3pp1/2n1pn1p/q2pN3/3P4/2NBP1P1/PP2QPP1/3RK2R w K - 8 14,True,1
125,r2qr1k1/2p3pp/1bp2p2/p2pPb2/P4P2/2P1BN1P/2PQ2P1/R4RK1 w - - 2 19,True,1
126,r2qkb1r/pppb1ppp/2n5/1B1pP3/3Nn3/8/PPP2PPP/RNBQK2R w KQkq - 1 8,False,1
127,3k4/4b1p1/p2q4/1p3B1Q/2pp1P1P/2r5/1R4P1/K3R3 b - - 5 42,True,1
128,2b1k2r/ppq1bp1p/2n1p3/5p2/N7/6P1/PPQNPPBP/5RK1 b k - 4 18,True,1
129,8/6K1/4p3/1p1k1p1r/1p5P/1P2PPP1/p7/R7 b - - 1 44,True,1
130,r2q1rk1/pb1pbppp/1p2pn2/6B1/1n1P4/3BPN2/PP1N1PPP/R2QR1K1 w - - 3 11,True,1
131,2r5/5pk1/5p1p/8/8/pPPR1K1P/P4RP1/4Q1bq w - - 13 49,True,1
132,r3n1k1/p4pbp/bp2p1p1/2p4P/1PPrP3/P3NP2/R3B1P1/4K1NR b K - 3 22,False,0
133,rnbqkb1r/pp3ppp/5n2/4p3/2Pp4/6P1/PPN1PPBP/RNBQK2R w KQkq - 0 8,False,0
134,4k3/6R1/r7/3r4/p1N4P/6P1/5PK1/8 w - - 2 59,False,0
135,3r2k1/1bq2ppp/p1n1pn2/P1br4/1pN5/1B2P2P/1P1NQPP1/R1R1B1K1 w - - 7 22,True,0
136,3q1rnk/p4rbp/bpppn3/4pN1P/1PP1NpP1/P2P1B2/1B2QPR1/4R2K b - - 2 30,True,1
137,8/1p4k1/2p2pp1/1r1p3p/RP1P2bP/3NP1N1/6K1/8 b - - 11 47,True,1
138,2rr2k1/pp2p1b1/1np1bppp/q3B3/P2P3P/2P1PNP1/2Q2PB1/R3R1K1 w - - 0 19,False,1
139,3R4/5b2/1BB3k1/5p2/5P2/r2K3p/7P/8 w - - 3 51,True,1
140,2bq1rk1/r2pnppp/p1n1p3/1p6/4P3/1NNBQ3/PPP2PPP/2KR3R b - - 1 12,True,1
141,4r1k1/1b3r2/p4q2/P1Rp3p/1P2p1P1/2Q3P1/4PN1P/5RK1 b - - 1 39,True,1
142,8/pp4p1/4p2p/3k4/1P5P/3K4/1P3PP1/8 w - - 1 44,True,1
143,3rr1k1/2q2p1n/2p3p1/p2pP3/3Q1PPp/1P5P/P5B1/4RR1K b - - 0 33,True,1
144,r1bq1r1k/1p1n1n1p/p1p2b2/2Ppppp1/NP1P4/P3B1P1/2Q1PPBP/3RNRK1 w - - 0 17,True,1
145,R1b5/2q2r1k/6pp/2p1p3/2PpQ2N/3P1PP1/1P3K2/8 b - - 1 36,False,0
146,3r4/6p1/5kPp/5P2/p1pPK3/PpP5/1P3R2/8 b - - 4 52,True,1
147,8/8/8/5n1p/R6P/3k1K2/8/8 b - - 2 67,True,1
148,6qk/RQ6/1p1p3p/3PpNpP/2P1P1P1/8/6K1/8 w - - 3 110,True,1
149,8/7R/p1n5/P3b1k1/6p1/8/6K1/8 b - - 4 47,False,0
150,8/5kp1/8/7p/6bP/2BB2P1/5K2/8 w - - 5 56,True,1
151,3r4/2N3kp/P7/1N2rp2/1P2n1p1/5n2/1PR4P/2K2R2 b - - 0 38,True,1
152,2r1k2r/np2bp2/p3p3/3pP1P1/q2P4/6Bp/PPN2R1P/1R1Q3K w - - 7 31,False,0
153,1rb2rk1/pp2ppbp/3p1np1/4q3/2P1P3/1PNn2PP/P2BNPB1/2RQ1K1R w - - 5 14,True,1
154,3qnr2/p7/1pPp2kn/3Pp1pN/P3P1P1/3Q1B2/3B2K1/8 w - - 25 70,True,1
155,r1bqr1k1/p2p2p1/n1p2p1p/bp6/3PPN2/P1N5/1PPQ2PP/1K1R1B1R b - - 4 13,True,1
156,r1bqr1k1/5pb1/pp1p1npp/2pPn3/P1N1P3/2N4P/1PQ1BPP1/R1B2RK1 w - - 2 15,True,1
157,r2q1rk1/pb2bppp/1pn1pn2/2pp4/3P2P1/2PBPN1P/PP1N1P1B/R2QK2R w KQ - 1 12,True,1
158,5r2/3n3k/7p/1P1pb2q/Q2B1p2/3P3b/3NPP1N/3R3K b - - 2 31,False,0
159,1rbq1rk1/1pp1b1pp/p3n3/4Pp2/4pP2/2P1B3/PPQNB1PP/R4RK1 b - f3 0 17,False,0
160,r1bq1rk1/1p3pbp/n1p2pp1/p7/3P1B2/3B1N1P/PPP2PP1/R2QR1K1 w - - 2 12,True,1
161,8/p7/3pk3/1Rb3p1/8/6P1/P1R2PK1/3r4 w - - 2 43,True,1
162,8/2n4p/4n2k/R7/5pR1/2r2P2/8/5K2 w - - 4 62,False,0
163,1r2r1k1/p1pbqpp1/3b4/2p1n2p/4P3/2P2B1P/PPQ2PP1/R1B1RNK1 w - - 1 17,True,1
164,1r3k2/8/6pp/1p1BRp2/2p5/P2p2P1/1P1K2P1/8 w - - 0 42,True,1
165,r1b1r1k1/1p4bp/p1p3p1/P2pqp2/1PnN4/2P1P1P1/1BQ2PBP/R4RK1 w - - 2 20,False,0
166,8/2bK4/8/p1Pk4/P7/8/8/8 w - - 9 70,False,0
167,2q1k1r1/R2p4/2bRp1p1/1pB1P3/1P4PP/PK1B4/2P5/8 b - - 0 38,True,1
168,2qrn1k1/1r4b1/1p2p1pp/2ppNp2/3PnP2/1PPQP1P1/1B1N3P/R2R2K1 b - - 3 26,False,0
169,3kr3/p6p/1rpq4/4p2p/P3R1b1/1P4Q1/1KP5/5R2 b - - 4 31,False,0
170,8/1p6/2p3bp/p1n1k3/P1PNp2P/1P2Pp2/1r3P2/4RBK1 w - - 3 48,False,0
171,6rk/2r5/p1p3pq/Pp1pPbR1/1P1PpP1P/4B3/2Q3K1/7R b - - 14 49,True,1
172,r7/5pkp/Pp1qp1p1/1B6/1n1P4/5P1P/4Q1P1/2R4K w - - 22 40,True,1
173,r3k2r/p2p1p1p/4p2P/3p4/1Q1P4/P3P3/1P3q2/K1R4R w kq - 5 28,True,1
174,rn1qk2r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PPQ1PPBP/RN2K2R b KQkq - 4 8,True,1
175,r5k1/3q1ppp/bp1p1n2/2pPr3/pnQ5/N1N3P1/PP1RPPBP/5RK1 w - - 4 20,False,0
176,rnbqk2r/pp2ppbp/2p2np1/3p4/5P2/2PP1NP1/PP2P1BP/RNBQK2R b KQkq - 1 6,True,0
177,r1b4k/1pQrq1bp/1P4p1/3B1pP1/4pP2/p2RB2P/P3P2K/8 w - - 2 33,False,0
178,r4rkn/pp1nbppp/1q2p1b1/3pP3/PP1P1P2/4N3/4B1PP/R1BQNRK1 b - - 0 16,False,1
179,1Q3rk1/2p1p1bp/P3p1pB/8/8/3q4/r4PPP/1R3RK1 w - - 5 29,False,0
180,r1bq1rk1/pp2bppp/2n1pn2/3p4/1P6/2P2NP1/P2NPPBP/R1BQ1RK1 w - - 3 10,False,1
181,r2qkb1r/pp1b1ppp/2n2n2/3pp1B1/Q7/2N2NP1/PP2PPBP/R4RK1 b kq - 3 9,False,0
182,1k6/pp4p1/2p2nNp/3p4/3P4/2P3R1/PP4PK/RN2r3 w - - 4 29,True,1
183,2r3k1/pp3r1p/6p1/1Qbp4/4n3/q3BNP1/5PKP/R4R2 b - - 3 37,False,0
184,8/1pQ4p/p4ppk/2Pp4/PPb2P2/4qN1P/6PK/4r3 b - - 6 39,False,0
185,3R4/8/6k1/3Pp3/3r1p2/4K3/8/8 w - - 0 64,False,0
186,r1b5/2k5/3R2p1/1N2K1Pp/4PP1P/4B3/8/4r3 b - - 1 90,True,1
187,5r1k/pp1rb1pp/4Q3/5p2/1P1Bp3/P3P1Pq/3P1P1P/2R1KR2 b - - 4 25,True,1
188,r2q1rk1/4bppp/p1p5/1p1n1b2/8/1BP5/PP1P1PPP/RNBQR1K1 w - - 2 13,False,1
189,r2qr1k1/1bp2ppp/p4b2/3n4/1p1P4/1BP5/PP1N1PPP/R1BQR1K1 w - - 0 15,True,1
190,2br2kr/4q2p/p3p1pP/1p1pP1N1/nPp2QB1/6P1/P1R2P2/3R2K1 w - - 7 33,True,1
191,3n1k2/5pp1/7p/p2BBP1P/Pb6/4P3/4KP2/8 w - - 1 49,True,1
192,r4bk1/3q1pp1/7p/1p1rP3/1PpP1P2/8/5BPP/2RQ1RK1 b - - 2 26,False,0
193,2k5/3b4/3P1p2/1pK3p1/p1p1P1P1/P6P/8/1B6 w - - 7 56,True,0
194,r1b4r/1p3kp1/4pq2/p1Q2p2/BnP2P2/6Pp/1P1R1N1P/3R2K1 w - - 1 27,True,1
195,r1b1k1r1/pp2npBp/2p1p3/7N/2P4P/8/P1nK1PP1/R4B1R b q - 4 17,True,1
196,r4rk1/1b1nbppp/pq6/1p4N1/P1pP1B2/2R1P3/4BPPP/1Q3RK1 b - - 1 18,False,0
197,2kr3r/1bqpnp2/ppn1p3/2p1b1B1/2P1P2P/3P2PB/PP2NK2/R2Q1N1R b - - 5 17,False,0
198,6r1/1b1nqp1k/p3p2p/4b2N/P1Pp1BB1/7P/1P4P1/4QRK1 b - - 7 30,True,1
199,8/p5k1/3q3p/P1pPppp1/2B2n2/1P5P/5P2/3Q1K2 w - - 2 39,False,0
200,r2r4/3p1p2/2bRpPk1/pp2n1pp/4P3/P2BN3/1PP3PP/5RK1 b - - 1 28,False,0
201,B2k4/4b1Q1/pr1p1n2/4pP2/p7/1q6/7P/2R3RK b - - 8 45,True,1
202,8/3p1p1p/1P4p1/r7/4kP2/8/3PK1PP/1R6 b - - 0 39,True,1
203,2brqrk1/p5b1/1p1n4/2p1p2p/4P3/1PN4N/PBP1Q3/1K2R2R w - - 1 25,True,1
204,3k4/7p/p3p1p1/1p1n2P1/4p2P/4P3/1P2BPK1/8 b - - 0 35,False,0
205,2R3k1/4q2p/4p1p1/r3np2/5Q1R/3P3P/4B2K/8 b - - 3 38,True,1
206,5k2/3r2p1/3Np2p/p1p1P1p1/Pr3P1P/2K3P1/8/R3N3 w - - 0 38,True,1
207,r3kb1r/p2nq1pp/3nQ3/8/Pp6/1p3N2/1P3PPP/R1B2RK1 w kq - 1 18,False,1
208,2r2r1k/pp6/2pR1b1p/2P2p1q/1P2pN2/6P1/P1Q2P2/3R2K1 b - - 1 30,True,1
209,r1bq1rk1/pp3p1p/2np2p1/2p5/2P1P3/2N1Q3/PP2BPPP/3RK2R b K - 3 13,True,1
210,rnb1k2r/pp3pp1/4pq1p/2pp4/1bPP4/2N1PN2/PP3PPP/2RQKB1R b Kkq - 1 8,True,1
211,6k1/6p1/1p2p1p1/p2pPnPp/4rP2/3N1K2/1P3R1P/8 w - - 2 48,False,0
212,r4k2/2p5/pn1b2B1/3b2Bp/P2N4/2P5/6PP/R5K1 b - - 8 27,True,1
213,2k3r1/pp4q1/2pbpn2/6Nr/3PpP2/2P1B3/PPN3R1/R3Q1K1 w - - 9 23,True,1
214,3r4/1knrb3/p6Q/1p1qp1P1/1p1pN3/3P1P2/2RBK1P1/2R5 w - - 6 43,True,1
215,r4rk1/ppp1q1pp/1nn1pb2/5b2/2PP4/2N1BN2/PP1QB1PP/3R1RK1 b - - 3 14,True,1
216,6k1/q4p2/4p1p1/3pPnPp/p1pP3P/br6/1P3Q1K/1RN1B3 b - - 1 40,False,0
217,3k4/2p3rp/p3p3/2n5/2p5/2N3P1/P1K2P1P/4R3 b - - 1 22,True,1
218,b7/7p/5k2/1P3p2/3N1Bp1/2K1P1P1/7r/8 w - - 2 45,False,0
219,r1b1kb1r/p2p1ppp/1pq1pn2/1N6/2Q1PP2/4B3/PPP3PP/R3KB1R b KQkq - 3 10,True,1
220,r1brqbk1/1pp2pp1/pn2p2p/8/2pP4/P1N1P1PP/1P1BQPB1/3RR1K1 w - - 1 17,True,0
221,2r3k1/p4pb1/1p5p/1P1p1n1N/q4Q2/6P1/4PP1R/3NK3 b - - 4 30,False,0
222,5k2/6p1/7p/3KPP2/5N2/n7/6P1/8 b - - 12 51,True,1
223,r1b1r3/1p3nkp/1Bp1pbp1/1p6/4P3/P1N5/1P2BPPP/R2R2K1 w - - 3 21,True,1
224,rnbqr1k1/1pp2ppp/p2p1n2/2b5/2PN4/1PN3P1/P3PPBP/R1BQ1RK1 b - - 2 9,False,1
